id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
392,"Klaw","63","38","33","100","62","60","Ulysses Klaw","No alter egos found.","-","Vlaardingen, Netherlands","Fantastic Four #53 (August, 1966)","Marvel Comics","bad","Male","Human","6'2","188 cm","216 lb","97 kg","Red","No Hair","Criminal, former Scientist","-","Former member of the Masters of Evil, Fearsome Foursome, and Frightful Four; Former ally of Solarr, Molecule Man, and Doctor Doom","-",,,,,,,,,,,,,,,,,,,
393,"Kool-Aid Man","25","18","8","10","9","14",,"No alter egos found.","Pitcher Man","-","As Pitcher-Man in 1954","null","good","Male","null","-","0 cm","- lb","0 kg","Black","No Hair","-","-","-","-",,,,,,,,,,,,,,,,,,,
394,"Kraven II","50","34","23","28","43","85","Alyosha Kravinoff","No alter egos found.","-","-","Spectacular Spider-Man #243 (1997)","Marvel Comics","bad","Male","Human","6'3","191 cm","220 lb","99 kg","Brown","Black","-","-","Formerly the Sinister Six","Sergei Kravinoff (Kraven the Hunter, father, deceased), unidentified mother, Vladimir Kravinoff (Grim Hunter, half-brother, deceased), Nedrocci Tannengarden (half-brother, deceased), Dmitri Smerdyakov",,,,,,,,,,,,,,,,,,,
395,"Kraven the Hunter","63","32","35","42","25","85","Sergei Kravinoff","No alter egos found.","Kraven the Hunter","Volgograd (formerly Stalingrad), Russia","The Amazing Spider-Man #15 (1964)","Marvel Comics","bad","Male","Human","6'0","183 cm","235 lb","106 kg","Brown","Black","Professional game hunter, mercenary","-","(formerly) The Sinister Six","Nikolai & Anna Makarova Kravinoff (parents, deceased), Dmitri Smerdyakov (Chameleon, half-brother), Vladimir Kravinoff (Grim Hunter, son, deceased), Aloysha ""Al"" Kravinoff (Kraven II, son), Ned Tannengarden (son, deceased)","World's Greatest Hunter",the Grim Hunter,,,,,,,,,,,,,,,,,
396,"Krypto","9","80","100","90","82","40","Krypto the Superdog","No alter egos found.","-","-","Adventure Comics #210 (March, 1955)","DC Comics","good","Male","Kryptonian","0'25","64 cm","40 lb","18 kg","Blue","White","-","Smallville, Kansas","Superman","-",,,,,,,,,,,,,,,,,,,
397,"Kyle Rayner","69","90","50","60","100","60","Kyle Rayner","No alter egos found.","Ion","North Hollywood, Los Angeles, California","Green Lantern Vol 3 #48","DC Comics","good","Male","Human","5'11","180 cm","175 lb","79 kg","Green","Black","Green Lantern, Adventurer, Artist","Oa,formerly New York City, Los Angeles","Green Lantern Corps, New Guardians, formerly Challengers From Beyond, Sinestro Corps, Justice League of America, Blue Lantern Corps, Titans","Aaron Rayner (father), Maura Rayner (mother, deceased), Zachary Rayner (uncle, deceased), Roderick ""Snowy"" Rayner (grandfather, deceased), unnamed maternal great-grandfather (deceased), Kathleen (aunt), Cary Wren (descendant)","Kyle Vasquez",Parallax,Torch Bearer,Honor Guard,The Last Green Lantern,,,,,,,,,,,,,,
398,"Kylo Ren","56","44","33","30","100","70","Ben Solo","No alter egos found.","-","-","Star Wars: Episode VII - The Force Awakens (2015)","George Lucas","bad","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","-","Han Solo (Father), Princess Leia (Mother), Luke Skywalker (Uncle)",,,,,,,,,,,,,,,,,,,
399,"Lady Bullseye","null","63","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","bad","Female","null","-","0 cm","- lb","0 kg","-","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
400,"Lady Deathstrike","63","28","42","85","48","90","Yuriko Oyama","No alter egos found.","Ana Cortes","Osaka, Japan","Alpha Flight Vol. 1 #33 (1985)","Marvel Comics","bad","Female","Cyborg","5'9","175 cm","128 lb","58 kg","Brown","Black","-","-","Ally of Reverend William Stryker, former employee of Sabretooth, formerly Reavers","Kenji Oyama (Lord Dark Wind, father, deceased), two unnamed brothers (deceased)",,,,,,,,,,,,,,,,,,,
401,"Leader","100","10","12","14","59","42","Samuel Sterns","No alter egos found.","-","Boise, Idaho","-","Marvel Comics","bad","Male","null","5'10","178 cm","140 lb","63 kg","Green","No Hair","-","-","Leader of Freehold","-",,,,,,,,,,,,,,,,,,,
402,"Leech","25","5","12","14","62","14",,"No alter egos found.","-","-","Uncanny X-Men #179","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","Survivor, former student","-","198; formerly Generation X, Daydreamers, Morlocks, X-Factor (trainee)","Annalee (foster mother, deceased)",,,,,,,,,,,,,,,,,,,
403,"Legion","50","100","42","30","100","75","David Haller","No alter egos found.","Jack Wayne","Israel","New Mutants #25 (March, 1985)","Marvel Comics","good","Male","Mutant","5'9","175 cm","130 lb","59 kg","Green / Blue","Black","Adventurer, Student","formerly Ruth Aldine's mind, Utopia, San Francisco Bay, California; Westcliffe, Colorado; ""No-Time""; Moira MacTaggart's Mutant Research Center, Muir Island, off the coast of Scotland; Haifa; Paris, France","Formerly X-Men, Muir Island X-Men","Charles Graymalkin (paternal collateral ancestor), Marcia Graymalkin (paternal collateral ancestor), Jonas Graymalkin (paternal collateral ancestor), Brian Xavier (paternal grandfather), Sharon Xavier (paternal grandmother), Kurt Marko (paternal step-grandfather), Cain Marko (paternal step-uncle), Cassandra Nova Xavier (paternal aunt), Charles Xavier (father), Gabrielle Haller (mother), Daniel Shomron (stepfather), Xavier Family (paternal relatives), Ruth Aldine (lover/current body)","Cyndi",Jemail Karami,Daniel Lucas Haller,Daniel Haller,Rodney,"Ian","Lucas","Fanya","Boris","Zachary","Sylvester","God-Mutant",,,,,,,
404,"Leonardo","75","16","50","65","59","80","Leonardo","No alter egos found.","Leo","-","Teenage Mutant Ninja Turtles #1","IDW Publishing","good","Male","Mutant","-","0 cm","- lb","0 kg","Blue","No Hair","Ninja","New York, New York","-","Donatello (brother), Michelangelo (brother), Raphael (brother)","Ghost of the Jungle",Splinter Jr.,,,,,,,,,,,,,,,,,
405,"Lex Luthor","100","53","25","65","68","70","Lex Luthor","No alter egos found.","-","-","Action Comics #23","DC Comics","bad","Male","Human","6'2'","188 cm","210 lb","95 kg","Green","No Hair","Owner of LexCorp","-","Injustice Gang, Injustice League, Society of Supervillains","Casey and Elaine Griggs (foster parents, deceased),\nLena Luthor (sister pre-Crisis; daughter post-Crisis),\nElizabeth Perske (ex-wife),\nPerry J. White Jr. (son, deceased),\nContessa Erica Alexandra del Portenza (wife, assumed deceased)",,,,,,,,,,,,,,,,,,,
406,"Light Lass","38","10","35","28","67","42","Ayla Ranzz","No alter egos found.","-","-","Teen Titans/Legion Special #1","DC Comics","good","Female","null","5'5","165 cm","120 lb","54 kg","Blue","Red","-","United Planets","Legion of Super-Heroes, formerly the Wanderers","Unnamd parents, Garth Ranzz (Lightning Lad, twin brother); Mekt Ranzz (older brother)",,,,,,,,,,,,,,,,,,,
407,"Lightning Lad","38","10","23","28","60","42","Garth Ranzz","No alter egos found.","Lightning Boy","-","Teen Titans/Legion Special #1","DC Comics","good","Male","null","5'1","155 cm","145 lb","65 kg","Blue","Red","Legionnaire","Earth, 31st century","Legion of Super-Heroes","-","Live Wire",,,,,,,,,,,,,,,,,,
408,"Lightning Lord","44","10","23","42","66","42","Mekt Ranzz","No alter egos found.","-","-","Supergirl and the Legion of Super-Heroes #25 (Feb. 2007)","DC Comics","bad","Male","null","6'3","191 cm","210 lb","95 kg","Blue","Red","-","-","The Wanderers, former ally of the Legion of Super-Heroes.","-",,,,,,,,,,,,,,,,,,,
409,"Living Brain","75","53","35","56","31","28",,"No alter egos found.","-","-","Amazing Spider-Man #8 (1964)","Marvel Comics","bad","-","null","6'6","198 cm","800 lb","360 kg","Yellow","-","Robot","-","-","-",,,,,,,,,,,,,,,,,,,
410,"Living Tribunal","100","100","100","100","100","30",,"No alter egos found.","Living Trinity","-","Strange Tales #157","Marvel Comics","neutral","-","Cosmic Entity","-","0 cm","- lb","0 kg","Blue","No Hair","-","-","-","One-Above-All (creator)","Magistrate",High Judge of The Multiverse,Sir,,,,,,,,,,,,,,,,
411,"Liz Sherman","null","null","null","null","null","null","Elizabeth Anne Sherman","No alter egos found.","-","-","-","Dark Horse Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","B.P.R.D.","-",,,,,,,,,,,,,,,,,,,
412,"Lizard","50","51","27","70","63","56","Curtis Connors","No alter egos found.","-","Coral Gables, Florida","Amazing Spider-Man #6","Marvel Comics","bad","Male","Human","6'8","203 cm","510 lb","230 kg","Red","No Hair","Research biologist","Florida","-","Martha (wife, deceased), Billy (son), unnamed sister",,,,,,,,,,,,,,,,,,,
413,"Lobo","94","100","54","100","100","85","Lobo","No alter egos found.","The Main Man","-","Omega Men # 3","DC Comics","neutral","Male","Czarnian","7'6","229 cm","640 lb","288 kg","Red","Black","Assassin, Bounty Hunter, Priest","Mobile throughout several galaxies","Formerly LEGION, Young Justice; First Celestial Church of the Triple Fish-God","Slobo (clone)","The 'Bo",Master Frag,Mister Machete,Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It,,,,,,,,,,,,,,,
414,"Loki","88","63","46","85","100","60","Loki Laufeyson","No alter egos found.","God of Mischief","Jotunheim, Asgard","Journey into Mystery Vol. 1 #85","Marvel Comics","bad","Male","Asgardian","6'4","193 cm","525 lb","236 kg","Green","Black","God of evil; former god of mischief and madness","Asgard","Asgardians, Karnilla, Enchantress, Skurge the Executioner, Cobra, Mister Hyde, Absorbing Man, Igron, Tyr, Lorelei, Hela, Ulik, Frost Giants, Storm Giants (former), Dormammu, ""Acts of Vengeance"" prime movers (Dr. Doom, Magneto, Red Skull, Mandari","Laufey (father, deceased), Farbauti (mother, deceased), Sigyn (wife, deceased), Odin (foster father, deceased), Frigga (foster mother, deceased), Thor, Vidar (foster brothers, deceased), Hela,Fenris (Wolf), Jordmungand (Midgard Serpent) (children, deceased), Arkin (cousin, deceased)","Gem-Keeper",Walter Lawson,Lester,Loren Olsen,Tyfon,"Father Williams","Willie","Tso Zhung; has also impersonated hundreds of others.",,,,,,,,,,,
415,"Longshot","50","10","27","10","71","70",,"No alter egos found.","The Lost Messiah","-","Longshot #1 (September, 1985)","Marvel Comics","good","Male","Human","6'2","188 cm","80 lb","36 kg","Blue","Blond","freedom fighter, stuntman rebel, adventurer","X-Factor Investigations Headquarters, New York City, New York; formerly Detroit, Michigan; mobile; Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York; Mojoverse; Cooterman's Creek, Australian Outback, Australia; Alcatraz I","X-Factor Investigations; rebel forces on his homeworld; formerly Exiles; X-Men","Arize (creator), Alison Blaire (Dazzler) (wife), Gaveedra Seven (Shatterstar) (alleged son)","The Lucky One",,,,,,,,,,,,,,,,,,
416,"Luke Cage","50","63","29","95","44","70","Luke Cage","Power Man","Carl Lucas","Harlem, New York City","Hero for Hire #1 (1972)","Power Man","good","Male","Human","6'6","198 cm","425 lb","191 kg","Brown","Black","Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs","-","Underground Avengers (formerly Daredevil's Unnamed Super-Hero Team), Secret Defenders, Heroes for Hire, Nightwing Restorations, Fantastic Four, Defenders, Bloods","Jessica Jones (wife), James Leonard Lucas (father), Esther (mother, deceased), James Jr. (Coldfire, brother), unnamed daughter","Power Man",Mark Lucas,Hero for Hire,Ace of Spades,,,,,,,,,,,,,,,
417,"Luke Campbell","null","null","null","null","null","null","Luke Campbell","No alter egos found.","-","-","-","NBC - Heroes","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","Newark, NJ","-","Unnamed father (estranged), Mary Campbell",,,,,,,,,,,,,,,,,,,
418,"Luke Skywalker","69","38","42","25","100","100","Luke Skywalker","No alter egos found.","General Skywalker","Tatooine","Star Wars: Episode IV - A New Hope (1977)","George Lucas","good","Male","Human","5'6","168 cm","170 lb","77 kg","Blue","Blond","-","-","Alliance to Restore the Republic, Jedi Order, Alliance of Free Planets, Bright Tree Village, New Republic, New Jedi Order","Darth Vader (father), Princes Leia (Sister), Yoda (Master), Obi-Wan Kenobi (Master)","Master Luke",Jedi,,,,,,,,,,,,,,,,,
419,"Luna","38","6","83","14","53","14","Luna Maximoff","No alter egos found.","-","Attilan, Blue Area of the Moon","-","Marvel Comics","good","Female","Human","-","0 cm","- lb","0 kg","-","-","-","-","-","Quicksilver (Pietro Maximoff, father), Magneto (grandfather), Crystal (mother), Scarlet Witch, (aunt), Polaris (aunt)",,,,,,,,,,,,,,,,,,,
420,"Lyja","null","null","null","null","null","null","Lyja","No alter egos found.","Alicia Masters","-","Fantastic Four #265 (as Alicia), Fantastic Four #357 (as Lyja)","Marvel Comics","good","Female","null","-","0 cm","- lb","0 kg","Green","Green","Former Skrull Liason Officer","-","Former lover of Paibok, Former ally of the Fantastic Four, Former wife of the Human Torch","Johnny Storm - Human Torch (ex-husband), Susan Storm - Invisible Woman (ex-sister-in-law)","Lyja The Lazerfist",Laura Green,,,,,,,,,,,,,,,,,
421,"Mach-IV","75","36","60","84","60","56","Abner Jenkins","No alter egos found.","Beetle","Baltimore, Maryland","(Beetle) Strange Tales #123 (1964); (MACH-I) Incredible Hulk #449 (1997); (MACH-II) Thunderbolts #37 (2000); (MACH-III) Thunderbolts #57 (2001); (MACH-IV) New Thunderbolts #1 (2005)","Marvel Comics","bad","Male","null","5'11","180 cm","175 lb","79 kg","Brown","Brown","Adventurer; former master mechanic, professional criminal, mercenary","-","formerly Thunderbolts, Masters of Evil, Sinister Syndicate, Justin Hammer's Hit Squad, Maggia, Sinister Seven, Commission on Superhuman Activities, Defenders impersonators, Burton Canyon Police Department","-","MACH-I",MACH-II,MACH-III,Matthew,,,,,,,,,,,,,,,
422,"Machine Man","63","32","35","84","51","64","X-51, Aaron Stack","No alter egos found.","Sir McHinery","Central City, California","First appearance unknown","Marvel Comics","good","-","null","6'","183 cm","850 lb","383 kg","Red","Black","Insurance Investigator","Garvin's Garage, Queens, New York","Avengers","Dr. Able Stack, 'father'","Mister Machine.Machine Man",,,,,,,,,,,,,,,,,,
423,"Magneto","88","80","27","84","91","80","Erik Magnus Lensherr","No alter egos found.","The Creator","Unrevealed, probably somewhere in Northern Europe","X-MEN Vol. 1 #1","Marvel Comics","bad","Male","Mutant","6'2","188 cm","190 lb","86 kg","Grey","White","Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent","Currently unrevealed, formerly Asteroid M; various hidden bases on Earth including one in Antarctica; an island in the Bermuda Triangle; Professor Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","Currently None, formerly Brotherhood of Evil Mutants I and II, X-Men, teacher of the New Mutants, Lords Cardinal of the Hellfire Club, leader of the Acolytes","Magda (wife, deceased), Anya (daughter, deceased), Pietro Maximoff (Quicksilver, son), Wanda Maximoff (Scarlet Witch, daughter), Lorna Dane (Polaris, daughter), Joseph (clone, deceased), Luna (granddaughter)","Erik Magnus Lehnsherr",Michael Xavier,White Pilgrim,Erik the RedThe Master of Magnetism,,,,,,,,,,,,,,,
424,"Magog","50","48","23","64","66","72","David Reid","No alter egos found.","-","-","-","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","Blue","Blond","-","-","formerly Justice Society of America, formerally United States Marine Corps","Franklin Delano Roosevelt (great-grandfather, deceased)",,,,,,,,,,,,,,,,,,,
425,"Magus","88","100","70","99","100","74",,"No alter egos found.","Warlock's Father","Kvch (Technarchy�s home planet)","New Mutants #18 (1984)","Marvel Comics","bad","Male","null","6'0","183 cm","- lb","0 kg","Black","-","Ruler of the Technarchy","-","-","Warlock (son, deceased)",,,,,,,,,,,,,,,,,,,
426,"Man of Miracles","100","100","100","100","100","100",,"No alter egos found.","Mother Of Existence","-","Spawn #75","Image Comics","-","-","God / Eternal","-","0 cm","- lb","0 kg","Blue","Silver","-","-","-","-",,,,,,,,,,,,,,,,,,,
427,"Man-Bat","38","18","50","70","33","30","Robert Kirkland Langstrom","No alter egos found.","Kirk Langstrom","Chicago, Illinois","Detective Comics #400 (June, 1970)","DC Comics","neutral","Male","Human","-","0 cm","- lb","0 kg","Brown","Brown","Zoologist","Gotham City","Formerly Spirit Squad, The Network","Francine Langstrom (wife), Rebecca Elizabeth Langtrom (daughter); Aaron Langstrom (son); Britt Langstrom (sister); Ted Friedel (brother-in-law)",,,,,,,,,,,,,,,,,,,
428,"Man-Thing","50","32","8","100","100","40","Dr. Theodore Sallis","No alter egos found.","the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap","-","Savage Tales #1 (May, 1971)","Marvel Comics","good","Male","null","7'0","213 cm","500 lb","225 kg","Red","No Hair","-","Man-Thing's Swamp, Citrusville, Florida","Thunderbolts, Legion of Monsters, Daydreamers","Ellen Brandt (ex-wife) Job Burke (son)",,,,,,,,,,,,,,,,,,,
429,"Man-Wolf","63","44","35","42","45","70","John Jameson","No alter egos found.","Stargod","New York, New York","AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124","Marvel Comics","good","Male","null","6'2'","188 cm","200 lb","90 kg","Brown","Auburn","Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute","Queens","Ravencroft Insitute Staff, Avengers Support Crew, NASA, USAF","J. Jonah (father), Joan (mother, deceased), Marla Madison (stepmother), David (paternal grandfather, presumed deceased), Betty (paternal grandmother, presumed deceased)","Vanwolf",Skywolf,,,,,,,,,,,,,,,,,
430,"Mandarin","100","28","23","28","100","95","Khan","No alter egos found.","Tem Borjigin","China","Tales of Suspense #50 (February, 1964)","Marvel Comics","bad","Male","Human","6'2","188 cm","215 lb","97 kg","Blue","White","Would-be conqueror; former janitor, businessman and crimelord, government administrator","Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.","current CEO of Prometheus Corporation; has employed the Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, and Ladykiller.","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)","Gene Kahn",Master Khan,Zhang Tong,Mandy,,,,,,,,,,,,,,,
431,"Mantis","63","8","33","80","100","80",,"No alter egos found.","Celestial Madonna","Vietnam","Avengers #112","Marvel Comics","good","Female","Human-Kree","5'6","168 cm","115 lb","52 kg","Green","Black","Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer","Mobile","-","Libra (Gustav Brandt) (father), Lau Brandt (mother), Cotati possessing Jacques Duquesne (husband), Quoi (son)","Willow",Lorelei,Mandy Celestine,This One (in referring to herself),,,,,,,,,,,,,,,
432,"Martian Manhunter","100","95","92","100","100","85","J'onn J'onzz","No alter egos found.","ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith","-","Detective Comics #225 (1955)","DC Comics","good","Male","Martian","6'7","201 cm","300 lb","135 kg","Red","No Hair","-","-","Darkstars, Justice League of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders","M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)","Bloodwynd",many others,,,,,,,,,,,,,,,,,
433,"Marvel Girl","63","85","47","42","100","80","Rachel Anne Summers","No alter egos found.","Rachel Grey","-","UNCANNY X-MEN #141","Marvel Comics","good","Female","null","5'7'","170 cm","125 lb","56 kg","Green","Red","Adventurer","Xavier Institute of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England","Starjammers, formerly X-Men, former servant of Elias Bogan, formerly Clan Askani (leader), Excalibur, former servant of Ahab","Scott Summers (Cyclops, alternate timeline father, deceased in own time), Jean Grey-Summers (Phoenix, alternate timeline mother, deceased in own time), Alex Summers (Havok, alternate timeline uncle), Franklin Richards (alternate future husband), Jonathan Reed Richards (Hyperstorm, alternate future son), David Richards (alternate future son)","formerly Phoenix",Mother Askani,Bright Lady,Aly'zrn Summerset,,,,,,,,,,,,,,,
434,"Master Brood","null","null","null","null","null","null","Currently Colin Wood","No alter egos found.","Brood","Perhaps England","Team Epic Episode 101","Team Epic TV","good","Male","null","6'0","183 cm","180 lb","81 kg","Blue","Black","-","Toronto, Canada","Team Epic","Deceased",,,,,,,,,,,,,,,,,,,
435,"Master Chief","75","73","35","80","69","100","John-117","No alter egos found.","Blue 1","Elysium City, Eridanus II","-","Microsoft","good","Male","Human / Altered","7'","213 cm","- lb","0 kg","Brown","Brown","Master Chief Petty Officer of the Navy","-","United Nations Space Command, Navy","-","Sierra 117",Spartan 117,Demon,,,,,,,,,,,,,,,,
436,"Match","75","95","83","85","100","70","Kent Connor","No alter egos found.","Superboy","-","Superboy Vol 4 #35 (January, 1997)","DC Comics","bad","Male","null","-","0 cm","- lb","0 kg","Black","Black","-","-","Titans East, the Agenda, Project Cadmus","Superman (genetic template via Superboy), Lex Luthor (genetic Template via Superboy), Superboy (genetic template)","Superman",,,,,,,,,,,,,,,,,,
437,"Matt Parkman","63","10","12","14","59","56","Matthew Parkman","No alter egos found.","-","-","Heroes S01E02 - Don't Look Back","NBC - Heroes","good","Male","null","-","0 cm","- lb","0 kg","-","-","NYPD detective","New York, NY; formerly Los Angeles, CA","-","Maury Parkman (father), Janice Parkman (ex-wife)",,,,,,,,,,,,,,,,,,,
438,"Maverick","63","10","12","42","60","85","Christopher Bradley","No alter egos found.","Chris","-","X-Men Unlimited #8 (1995)","Marvel Comics","good","Male","null","6'4","193 cm","244 lb","110 kg","Blue","Black","Mercenary; former adventurer, student","-","(As Maverick) Formerly Gene Nation, Cable�s Underground; (as Bolt) formerly New Warriors","Robert Bradley (Frank Johnson, father), Marion Bradley (Rose Johnson, mother), Catherine Bradley (Jennifer Johnson, sister)","Bolt",,,,,,,,,,,,,,,,,,
439,"Maxima","75","90","35","56","81","75",,"No alter egos found.","Queen Maxima","Almerac","-","DC Comics","bad","Female","null","5'11","180 cm","160 lb","72 kg","Brown","Red","Adventurer, Queen of the Almerac Empire","Imperial Royal Palace","Justice League Task Force, Extreme Justice","-","Empress of the Almeracian Empire",,,,,,,,,,,,,,,,,,
440,"Maya Herrera","50","10","12","14","60","14","Maya Herrera","No alter egos found.","-","Dominican Republic","-","NBC - Heroes","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","Alejandro (twin brother)",,,,,,,,,,,,,,,,,,,
441,"Medusa","75","34","35","70","37","56","Medusalith Amaquelin Boltagon","No alter egos found.","Madam Medusa","Island of Attilan, Atlantic Ocean","Fantastic Four Vol. 1 #36 (1965)","Marvel Comics","good","Female","Inhuman","5'11","180 cm","130 lb","59 kg","Green","Red","Queen, Royal interpreter","Attilan","Inhumans, Fantastic Four","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)","Queen Medusa",,,,,,,,,,,,,,,,,,
442,"Meltdown","38","10","12","42","62","64","Tabitha Smith","Boom-Boom","Boom-Boom","Roanoke, Virginia","-","Boom-Boom","good","Female","null","5'5","165 cm","120 lb","54 kg","Blue","Blond","Adventurer, former student, thief","-","Formerly Nextwave, X-Force, Genoshan Mutates, New Mutants, X-Terminators, X-Factor (trainee), Fallen Angels","Martin Louis Smith (father), Mandy Smith (step-mother), Wanda Jo Bialowsky-Smith (step-mother)","Boomer",Meltdown,Mutate #35,Time Bomb,Nancy Forrester,,,,,,,,,,,,,,
443,"Mephisto","88","85","35","95","100","42",,"No alter egos found.","Satan; Mephistopheles","Hell","-","Marvel Comics","bad","Male","null","6'6","198 cm","310 lb","140 kg","White","Black","Lord of a realm of Hell","-","Hell-lords, Lords of the Splinter Realms; formerly manipulator of the Six-Fingered Hand","Blackheart (son), Mephista (daughter); presumptive relationship to other Hell-lords; quasi-paternal relationship to Mikal Drakonmegas (Hellfire) and Daimon (Hellstorm) and Satana Hellstrom; formerly engaged to unidentified demoness","Lord of Evil",Prince of Devils,Prince of Lies,Lord of the Lower Depths,Satan,"Beelzebub","the Devil","Maya","Lucifer","Nick Scratch","the Friend","Legion","numerous others; impersonated Don Blake","many others",,,,,
444,"Mera","56","62","79","60","92","80","Mera","No alter egos found.","Queen of Atlantis","-","Aquaman #11 (October, 1963)","DC Comics","good","Female","Atlantean","5'9","175 cm","160 lb","72 kg","Blue","Red","Former queen of Atlantis; Former queen of Dimension Aqua","Atlantis","Aquaman Family; formerly Red Lantern Corps","Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)","Aquawoman",Aquagirl,Water-Woman,,,,,,,,,,,,,,,,
445,"Metallo","75","53","23","95","86","64","John Corben","No alter egos found.","-","-","Superman Vol 2 #1 (January, 1987)","DC Comics","bad","Male","Android","6'5","196 cm","200 lb","90 kg","Green","Brown","Professional criminal","Mobile, though he generally operates out of Metropolis","Superman Revenge Squad","-",,,,,,,,,,,,,,,,,,,
446,"Metamorpho","null","82","null","null","null","null","Rex Mason","No alter egos found.","The Element Man","-","Brave and the Bold #57","DC Comics","good","Male","null","6'1","185 cm","200 lb","90 kg","Black","No Hair","Adventurer, former Soldier of Fortune","-","Outsiders, formerly Doom Patrol, Justice League Europe, Seven Soldiers of Victory","Unnamed parents (deceased), Sapphire Stagg Mason (wife), Joseph (son), Simon Stagg (father-in-law)",,,,,,,,,,,,,,,,,,,
447,"Meteorite","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
448,"Metron","88","10","47","56","100","28","Metron","No alter egos found.","-","-","New Gods vol. 1 #1 (February-March, 1971)","DC Comics","good","Male","null","6'1","185 cm","190 lb","86 kg","Blue","Black","Scientist, seeker of knowledge","Supertown, New Genesis","New Gods","-",,,,,,,,,,,,,,,,,,,
449,"Micah Sanders","63","8","12","14","57","14","Micah Sanders","No alter egos found.","MicahSanders500","-","-","NBC - Heroes","good","Male","null","-","0 cm","- lb","0 kg","Brown","Black","Elementary school student","New Orleans, LA","-","Niki Sanders (Mother), DL Hawkins (Father), Paulette Hawkins (paternal grandmother), Hal Sanders (maternal grandfather), Nana Dawson (Guardian)\nNana Dawson (Great-aunt), Monica Dawson (Cousin), Damon Dawson (Cousin)",,,,,,,,,,,,,,,,,,,
450,"Michelangelo","63","14","50","65","59","75",,"No alter egos found.","Mike","-","-","IDW Publishing","good","Male","Mutant","-","0 cm","- lb","0 kg","Blue","-","-","-","-","Leonardo (brother), Donatello (brother), Raphael (brother)","Mikey",Mikester,Michaelangelo,,,,,,,,,,,,,,,,
